PERIOD;SCENARIO;ENTITY;CENTER;DIVISION_CODE;AREA_CODE;FUNCTION_CODE;ORGANIZATION_CHART;CENTRALIZED_SOURCE_CENTER;FUNCTION_CODE_CENTRALIZED;ORGANIZATION_CHART_CENTRALIZED;OWN_SOURCE_CENTER;FUNCTION_CODE_OWN_COST;ORGANIZATION_CHART_OWN_COST;TAXONOMY_CODE;TAXONOMY_CORP;SPENT_TYPE;BUSINESS_AREA;GEOGRAPHY_CODE;GEOGRAPHY_CORP;COMPANY_CODE;PROJECT_CODE;LOCAL_CURRENCY_AMOUNT;AUDIT_CODE;AUDIT_DESCRIPTION_ES;AUDIT_DESCRIPTION_EN;EUROS_AMOUNT;HEADCOUNT;SETTLE_CODE;AUDIT_CORP
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-742,825;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-742,825;0;103554;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-10020;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-10020;0;103673;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-987650,53;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-987650,53;0;102971;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-3334,208;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-3334,208;0;103722;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;H0101010;H0101010;02;AN02020200;42023;42023;0;Pr_xxx;-7765,191;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-7765,191;0;103722;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-1162,264;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-1162,264;0;103140;01_DZR
202506;C0401;9942023;0000;;;F00047;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-67,095;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-67,095;0;103676;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;H0101010;H0101010;02;AN02020200;42023;42023;0;Pr_xxx;-36682,953;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-36682,953;0;103724;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-22612,007;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-22612,007;0;103724;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;J0301064;J0301064;09;AN02020200;42023;42023;0;Pr_xxx;-689,959;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-689,959;0;103724;01_DZR
